판매ID,날짜,채널명,거래처명,대분류,중분류,제품명,색상,원가,단가,수량,할인율,매출금액,매출원가,매출이익
452,2017-03-21,매장,태화상사,TV & 비디오,TV,"37"" 1080p LCD HDTV M150W",White,"607,020","1,319,988",30,20.00%,"39,599,640","18,210,600","21,389,040"
453,2017-03-22,매장,한진무역,오디오,블루투스 헤드폰,차세대 스테레오 블루투스 헤드폰 M370,Yellow,"11,004","159,588",1,20.00%,"159,588","11,004","148,584"
454,2017-03-22,매장,샤론통상,카메라 & 캠코더,디지털 카메라,"SLR Camera 35"" M358",Black,"196,800","429,600",1,20.00%,"429,600","196,800","232,800"
455,2017-03-24,매장,대한상사,오디오,블루투스 헤드폰,무선 송신기와 블루투스 헤드폰 M150,Red,"59,628","179,988",7,20.00%,"1,259,916","417,396","842,520"
456,2017-03-25,매장,신성무역,휴대폰,스마트 폰,8G 메모리 스마트 폰 M400,Gold,"148,440","322,800",1,20.00%,"322,800","148,440","174,360"
457,2017-03-26,매장,ABC상사,오디오,블루투스 헤드폰,차세대 스테레오 블루투스 헤드폰 M370,Yellow,"11,004","159,588",3,20.00%,"478,764","33,012","445,752"
458,2017-03-26,매장,ITM,휴대폰,터치 스크린 폰,터치 스크린 폰 5-와이어 / M508,Gold,"142,380","309,600",1,20.00%,"309,600","142,380","167,220"
459,2017-03-28,매장,신영상사,컴퓨터,프로젝트 & 스크린,프로젝트 720p DLP56,Black,"551,280","1,198,800",5,20.00%,"5,994,000","2,756,400","3,237,600"
460,2017-03-30,매장,태강교역,음반 & 영화,영화 DVD,DVD 12인치 플레이어 휴대용 M400,Silver,"18,288","215,988",4,20.00%,"863,952","73,152","790,800"
461,2017-03-30,매장,삼화상사,휴대폰,터치 스크린 폰,터치 스크린 폰 5-와이어 / M508,Gold,"142,380","309,600",3,20.00%,"928,800","427,140","501,660"
462,2017-04-01,매장,월드링크,컴퓨터,프로젝트 & 스크린,프로젝트 720p DLP56,Black,"385,728","838,800",8,0.00%,"6,710,400","3,085,824","3,624,576"
463,2017-04-01,매장,신영상사,음반 & 영화,영화 DVD,DVD 55 DVD 저장 바인더 M56,Black,"13,800","15,192",9,0.00%,"136,728","124,200","12,528"
464,2017-04-02,매장,서주무역,TV & 비디오,TV,"52"" LCD HDTV X790W",White,"633,036","1,910,640",13,0.00%,"24,838,320","8,229,468","16,608,852"
465,2017-04-03,매장,진흥,오디오,블루투스 헤드폰,블루투스 액티브 헤드폰 E202,Silver,"397,584","401,135",13,0.00%,"5,214,755","5,168,592","46,163"
466,2017-04-03,매장,미림상사,TV & 비디오,TV,"32"" LCD HDTV M130",Silver,"472,368","599,988",5,0.00%,"2,999,940","2,361,840","638,100"
467,2017-04-05,매장,협우상사,컴퓨터,프로젝트 & 스크린,프로젝트 720p DLP56,Black,"385,728","838,800",13,0.00%,"10,904,400","5,014,464","5,889,936"
468,2017-04-05,매장,대진상사,휴대폰,스마트 폰,스마트 폰 E100(카메라없음),Pink,"258,180","354,800",1,0.00%,"354,800","258,180","96,620"
469,2017-04-05,매장,베네디스,카메라 & 캠코더,캠코더,"Trendsetter 1"" 25mm X400",Blue,"397,584","1,200,000",3,0.00%,"3,600,000","1,192,752","2,407,248"
470,2017-04-06,온라인,k마켓,TV & 비디오,TV,"52"" LCD HDTV X790W",White,"115,020","1,910,640",1,0.00%,"1,910,640","115,020","1,795,620"
471,2017-04-06,매장,금강,음반 & 영화,영화 DVD,DVD 12인치 플레이어 휴대용 M400,Silver,"18,288","215,988",1,0.00%,"215,988","18,288","197,700"
472,2017-04-07,매장,동광통상,휴대폰,스마트 폰,PDA Handheld 4.7 inch L650,Black,"154,656","466,800",10,0.00%,"4,668,000","1,546,560","3,121,440"
473,2017-04-07,매장,양정물산,컴퓨터,컴퓨터 액세서리,대용량 배터리 M800,Grey,"15,396","33,480",1,0.00%,"33,480","15,396","18,084"
474,2017-04-07,매장,언더우드상사,TV & 비디오,TV,"52"" LCD HDTV X790W",White,"516,456","1,910,640",3,20.00%,"5,731,920","1,549,368","4,182,552"
475,2017-04-08,매장,태화상사,음반 & 영화,영화 DVD,DVD 9 인치 플레이어 휴대용 M300,White,"196,800","198,224",2,0.00%,"396,448","393,600","2,848"
476,2017-04-08,매장,글로리아 백화정,음반 & 영화,영화 DVD,DVD 9 인치 플레이어 휴대용 M300,Black,"397,584","401,465",1,0.00%,"401,465","397,584","3,881"
477,2017-04-08,매장,동도교역,컴퓨터,랩탑,노트북13.3 M3000,Red,"110,124","456,000",5,0.00%,"2,280,000","550,620","1,729,380"
478,2017-04-09,매장,삼양상사,컴퓨터,프로젝트 & 스크린,스크린 85in E1010,Black,"85,044","166,800",13,0.00%,"2,168,400","1,105,572","1,062,828"
479,2017-04-09,매장,유미백화점,음반 & 영화,영화 DVD,DVD 12인치 플레이어 휴대용 M400,Silver,"18,288","215,988",1,0.00%,"215,988","18,288","197,700"
480,2017-04-09,매장,알프스무역,휴대폰,스마트 폰,스마트 폰 E100(카메라없음),Pink,"258,180","265,812",9,0.00%,"2,392,308","2,323,620","68,688"
481,2017-04-10,매장,태성무역,휴대폰,스마트 폰,Microsoft Windows Mobile M200,Grey,"126,372","274,800",8,0.00%,"2,198,400","1,010,976","1,187,424"
482,2017-04-10,매장,한진무역,카메라 & 캠코더,디지털 카메라,"SLR Camera 35"" M358",Black,"196,800","429,600",3,0.00%,"1,288,800","590,400","698,400"
483,2017-04-10,매장,이화무역,휴대폰,스마트 폰,스마트 폰 E100(카메라없음),Pink,"258,180","260,710",2,0.00%,"521,420","516,360","5,060"
484,2017-04-10,매장,샤론통상,오디오,블루투스 헤드폰,차세대 스테레오 블루투스 헤드폰 M370,Yellow,"11,004","159,588",3,0.00%,"478,764","33,012","445,752"
485,2017-04-11,매장,대한상사,컴퓨터,랩탑,노트북13.3 M3000,Red,"110,124","456,000",4,0.00%,"1,824,000","440,496","1,383,504"
486,2017-04-11,매장,신성무역,휴대폰,스마트 폰,스마트 폰 E100(카메라없음),Pink,"258,180","260,070",8,0.00%,"2,080,560","2,065,440","15,120"
487,2017-04-11,매장,ITM,음반 & 영화,영화 DVD,DVD 55 DVD 저장 바인더 M56,Black,"13,800","15,192",13,0.00%,"197,496","179,400","18,096"
488,2017-04-11,카탈로그,투프린트,컴퓨터,프로젝트 & 스크린,프로젝트 720p DLP56,Black,"385,728","838,800",13,0.00%,"10,904,400","5,014,464","5,889,936"
489,2017-04-12,대리점,명성,컴퓨터,프로젝트 & 스크린,프로젝트 720p DLP56,Black,"385,728","838,800",13,0.00%,"10,904,400","5,014,464","5,889,936"
490,2017-04-12,온라인,k마켓,컴퓨터,랩탑,노트북13.3 M3000,Red,"110,124","456,000",3,0.00%,"1,368,000","330,372","1,037,628"
491,2017-04-12,매장,혜성 백화점,음반 & 영화,영화 DVD,DVD 9 인치 플레이어 휴대용 M300,Black,"397,584","399,269",5,0.00%,"1,996,345","1,987,920","8,425"
492,2017-04-13,매장,동광통상,카메라 & 캠코더,디지털 카메라,"SLR Camera 35"" M358",Silver,"196,800","429,600",3,0.00%,"1,288,800","590,400","698,400"
493,2017-04-13,대리점,가나전자,컴퓨터,프로젝트 & 스크린,프로젝트 720p DLP56,Black,"385,728","838,800",1,0.00%,"838,800","385,728","453,072"
494,2017-04-14,매장,혜성 백화점,컴퓨터,컴퓨터 액세서리,배터리 충전기 - 자전거 E200,Black,"12,180","23,880",7,0.00%,"167,160","85,260","81,900"
495,2017-04-15,매장,태화상사,음반 & 영화,영화 DVD,DVD 55 DVD 저장 바인더 M56,Black,"13,800","15,192",1,0.00%,"15,192","13,800","1,392"
496,2017-04-16,매장,동광통상,TV & 비디오,TV,"32"" LCD HDTV M130",Silver,"472,368","599,988",3,0.00%,"1,799,964","1,417,104","382,860"
497,2017-04-17,매장,미림 백화점,휴대폰,스마트 폰,8G 메모리 스마트 폰 M400,White,"148,440","322,800",5,0.00%,"1,614,000","742,200","871,800"
498,2017-04-17,매장,오성통상,TV & 비디오,TV,"40"" LCD HDTV M690",White,"471,120","1,421,964",3,0.00%,"4,265,892","1,413,360","2,852,532"
499,2017-04-17,매장,오성통상,오디오,블루투스 헤드폰,무선 블루투스 스테레오 헤드폰 E302,White,"22,380","48,660",1,0.00%,"48,660","22,380","26,280"
500,2017-04-17,매장,미림 백화점,음반 & 영화,영화 DVD,DVD 12인치 플레이어 휴대용 M400,Silver,"18,288","215,988",4,0.00%,"863,952","73,152","790,800"
501,2017-04-18,매장,삼화상사,휴대폰,스마트 폰,8G 메모리 스마트 폰 M400,Gold,"148,440","322,800",8,0.00%,"2,582,400","1,187,520","1,394,880"
502,2017-04-19,매장,태강교역,컴퓨터,프로젝트 & 스크린,프로젝트 720p DLP56,Black,"385,728","838,800",1,0.00%,"838,800","385,728","453,072"
503,2017-04-19,매장,삼화상사,TV & 비디오,TV,"52"" LCD HDTV X790W",White,"115,020","1,910,640",9,0.00%,"17,195,760","1,035,180","16,160,580"
504,2017-04-19,매장,태강교역,컴퓨터,랩탑,노트북15.4W M1548,White,"418,296","909,600",9,0.00%,"8,186,400","3,764,664","4,421,736"
505,2017-04-20,매장,월드링크,음반 & 영화,영화 DVD,DVD 55 DVD 저장 바인더 M56,Black,"196,800","199,027",13,0.00%,"2,587,351","2,558,400","28,951"
506,2017-04-20,매장,신영상사,TV & 비디오,TV,"52"" LCD HDTV X790W",White,"633,036","1,910,640",2,0.00%,"3,821,280","1,266,072","2,555,208"
507,2017-04-21,매장,미림상사,컴퓨터,프로젝트 & 스크린,프로젝트 720p DLP56,Black,"385,728","838,800",8,0.00%,"6,710,400","3,085,824","3,624,576"
508,2017-04-21,매장,서주무역,휴대폰,스마트 폰,스마트 폰 E100(카메라없음),Pink,"258,180","262,318",2,0.00%,"524,636","516,360","8,276"
509,2017-04-22,매장,월드링크,휴대폰,스마트 폰,8G 메모리 스마트 폰 M400,Gold,"148,440","322,800",10,0.00%,"3,228,000","1,484,400","1,743,600"
510,2017-04-23,매장,협우상사,오디오,블루투스 헤드폰,무선 블루투스 스테레오 헤드폰 E302,White,"22,380","48,660",3,0.00%,"145,980","67,140","78,840"
511,2017-04-24,매장,금강,컴퓨터,프로젝트 & 스크린,프로젝트 720p DLP56,Black,"385,728","838,800",8,0.00%,"6,710,400","3,085,824","3,624,576"
512,2017-04-25,매장,우주전산,휴대폰,스마트 폰,8G 메모리 스마트 폰 M400,White,"148,440","322,800",9,0.00%,"2,905,200","1,335,960","1,569,240"
513,2017-04-25,매장,세종물산,컴퓨터,컴퓨터 액세서리,대용량 배터리 M800,Grey,"15,396","33,480",13,0.00%,"435,240","200,148","235,092"
514,2017-04-25,매장,양정물산,휴대폰,스마트 폰,8G 메모리 스마트 폰 M400,White,"148,440","322,800",13,0.00%,"4,196,400","1,929,720","2,266,680"
515,2017-04-26,매장,미림상사,휴대폰,스마트 폰,스마트 폰 E100(카메라없음),Pink,"258,180","263,882",10,0.00%,"2,638,820","2,581,800","57,020"
516,2017-04-26,매장,진흥,휴대폰,사무용 및 가정용 전화기,디지털 무선 확장 휴대폰 전화 M900,White,"18,204","39,588",3,0.00%,"118,764","54,612","64,152"
517,2017-04-26,매장,글로리아 백화정,오디오,블루투스 헤드폰,무선 송신기와 블루투스 헤드폰 X250,Silver,"99,396","299,988",5,0.00%,"1,499,940","496,980","1,002,960"
518,2017-04-27,매장,알프스무역,TV & 비디오,TV,"52"" LCD HDTV X790W",White,"633,036","1,910,640",13,0.00%,"24,838,320","8,229,468","16,608,852"
519,2017-04-27,매장,베네디스,휴대폰,스마트 폰,스마트 폰 E100(카메라없음),Pink,"78,924","154,800",1,0.00%,"154,800","78,924","75,876"
520,2017-04-27,매장,동도교역,컴퓨터,프로젝트 & 스크린,프로젝트 720p DLP56,Black,"385,728","838,800",3,0.00%,"2,516,400","1,157,184","1,359,216"
521,2017-04-28,매장,협우상사,TV & 비디오,TV,"52"" LCD HDTV X790W",White,"516,456","1,910,640",1,0.00%,"1,910,640","516,456","1,394,184"
522,2017-04-28,매장,대진상사,휴대폰,스마트 폰,8G 메모리 스마트 폰 M400,White,"148,440","322,800",7,0.00%,"2,259,600","1,039,080","1,220,520"
523,2017-04-29,매장,유미백화점,음반 & 영화,영화 DVD,DVD 38 DVD 저장 바인더 E25,Black,"59,640","67,861",1,0.00%,"67,861","59,640","8,221"
524,2017-04-30,매장,삼양상사,컴퓨터,컴퓨터 액세서리,대용량 배터리 M800,Grey,"15,396","33,480",1,0.00%,"33,480","15,396","18,084"
525,2017-04-30,매장,신영상사,TV & 비디오,TV,"52"" LCD HDTV X790W",White,"633,036","1,910,640",3,20.00%,"5,731,920","1,899,108","3,832,812"
526,2017-01-01,매장,한진무역,음반 & 영화,영화 DVD,DVD 55 DVD 저장 바인더 M56,Black,"196,800","198,868",9,0.00%,"1,789,812","1,771,200","18,612"
527,2017-05-01,매장,대한상사,TV & 비디오,TV,"52"" LCD HDTV X790W",White,"633,036","1,910,640",1,0.00%,"1,910,640","633,036","1,277,604"
528,2017-07-01,매장,샤론통상,컴퓨터,프로젝트 & 스크린,스크린 85in E1010,Black,"85,044","166,800",5,0.00%,"834,000","425,220","408,780"
529,2017-08-01,매장,태성무역,오디오,블루투스 헤드폰,무선 송신기와 블루투스 헤드폰 X250,Silver,"99,396","299,988",1,0.00%,"299,988","99,396","200,592"
530,2017-09-01,매장,언더우드상사,휴대폰,스마트 폰,스마트 폰 E100(카메라없음),Pink,"258,180","259,597",3,0.00%,"778,791","774,540","4,251"
531,2017-11-01,매장,신성무역,휴대폰,스마트 폰,8G 메모리 스마트 폰 M400,White,"148,440","322,800",13,0.00%,"4,196,400","1,929,720","2,266,680"
532,2017-05-02,매장,금강,오디오,블루투스 헤드폰,차세대 스테레오 블루투스 헤드폰 M370,Yellow,"11,004","159,588",1,0.00%,"159,588","11,004","148,584"
533,2017-07-02,매장,우주전산,휴대폰,스마트 폰,8G 메모리 스마트 폰 M400,White,"148,440","322,800",3,0.00%,"968,400","445,320","523,080"
534,2017-08-02,매장,ABC상사,음반 & 영화,영화 DVD,DVD 12인치 플레이어 휴대용 M400,White,"59,640","215,988",2,0.00%,"431,976","119,280","312,696"
535,2017-09-03,대리점,가나전자,컴퓨터,프로젝트 & 스크린,스크린 85in E1010,Black,"85,044","166,800",4,0.00%,"667,200","340,176","327,024"
536,2017-11-03,매장,양정물산,음반 & 영화,영화 DVD,DVD 9 인치 플레이어 휴대용 M300,Black,"100,944","191,988",1,0.00%,"191,988","100,944","91,044"
537,2017-05-03,카탈로그,투프린트,오디오,블루투스 헤드폰,무선 송신기와 블루투스 헤드폰 M150,Red,"59,628","179,988",5,0.00%,"899,940","298,140","601,800"
538,2017-05-03,온라인,J마켓,TV & 비디오,TV,"40"" LCD HDTV M690",White,"471,120","1,421,964",8,0.00%,"11,375,712","3,768,960","7,606,752"
539,2017-05-03,온라인,k마켓,휴대폰,스마트 폰,8G 메모리 스마트 폰 M400,Gold,"148,440","322,800",3,0.00%,"968,400","445,320","523,080"
540,2017-05-03,대리점,명성,오디오,블루투스 헤드폰,무선 송신기와 블루투스 헤드폰 X250,Silver,"99,396","299,988",3,0.00%,"899,964","298,188","601,776"
541,2017-05-04,매장,태화상사,오디오,블루투스 헤드폰,무선 송신기와 블루투스 헤드폰 M150,Red,"59,628","179,988",13,0.00%,"2,339,844","775,164","1,564,680"
542,2017-05-04,매장,혜성 백화점,음반 & 영화,영화 DVD,DVD 9 인치 플레이어 휴대용 M300,White,"196,800","205,494",9,0.00%,"1,849,446","1,771,200","78,246"
543,2017-05-04,매장,동광통상,휴대폰,스마트 폰,8G 메모리 스마트 폰 M400,White,"148,440","322,800",13,0.00%,"4,196,400","1,929,720","2,266,680"
544,2017-05-04,매장,오성통상,컴퓨터,프로젝트 & 스크린,스크린 85in E1010,Black,"85,044","166,800",5,0.00%,"834,000","425,220","408,780"
545,2017-05-05,매장,태강교역,음반 & 영화,영화 DVD,DVD 12인치 플레이어 휴대용 M400,Silver,"18,288","215,988",1,0.00%,"215,988","18,288","197,700"
546,2017-05-05,매장,미림 백화점,컴퓨터,컴퓨터 액세서리,블루투스 노트북 마우스 X305,White,"59,640","180,000",3,0.00%,"540,000","178,920","361,080"
547,2017-05-05,매장,삼화상사,오디오,블루투스 헤드폰,무선 블루투스 스테레오 헤드폰 E302,White,"22,380","48,660",13,0.00%,"632,580","290,940","341,640"
548,2017-05-06,매장,세종물산,TV & 비디오,TV,"40"" LCD HDTV M690",White,"471,120","1,421,964",5,0.00%,"7,109,820","2,355,600","4,754,220"
549,2017-05-06,매장,월드링크,컴퓨터,프로젝트 & 스크린,스크린 85in E1010,Black,"85,044","166,800",1,0.00%,"166,800","85,044","81,756"
550,2017-05-07,매장,신영상사,카메라 & 캠코더,카메라 & 캠코더 액세서리,변환 렌즈 M550,Black,"113,124","246,000",7,0.00%,"1,722,000","791,868","930,132"
551,2017-05-07,매장,진흥,컴퓨터,프로젝트 & 스크린,프로젝트 720p DLP56,Black,"385,728","838,800",3,0.00%,"2,516,400","1,157,184","1,359,216"
552,2017-05-08,매장,협우상사,TV & 비디오,TV,"37"" 1080p LCD HDTV M150W",White,"607,020","1,319,988",9,0.00%,"11,879,892","5,463,180","6,416,712"
553,2017-05-08,매장,대진상사,오디오,블루투스 헤드폰,차세대 스테레오 블루투스 헤드폰 M370,Yellow,"11,004","159,588",1,0.00%,"159,588","11,004","148,584"
554,2017-05-08,매장,금강,TV & 비디오,TV,"40"" LCD HDTV M690",White,"471,120","1,421,964",13,0.00%,"18,485,532","6,124,560","12,360,972"
555,2017-05-08,매장,우주전산,오디오,MP4 & MP3,8GB 수퍼 슬림 MP3/Video Player M800,White,"60,672","131,940",2,0.00%,"263,880","121,344","142,536"
556,2017-05-08,매장,베네디스,오디오,블루투스 헤드폰,무선 송신기와 블루투스 헤드폰 M150,Red,"59,628","179,988",5,0.00%,"899,940","298,140","601,800"
557,2017-05-09,매장,동도교역,TV & 비디오,TV,"52"" LCD HDTV X790W",White,"115,020","1,910,640",3,0.00%,"5,731,920","345,060","5,386,860"
558,2017-05-09,매장,글로리아 백화정,휴대폰,스마트 폰,8G 메모리 스마트 폰 M400,Gold,"148,440","322,800",8,0.00%,"2,582,400","1,187,520","1,394,880"
559,2017-05-10,매장,글로리아 백화정,오디오,블루투스 헤드폰,무선 블루투스 스테레오 헤드폰 E302,White,"22,380","48,660",9,0.00%,"437,940","201,420","236,520"
560,2017-05-10,매장,알프스무역,휴대폰,스마트 폰,8G 메모리 스마트 폰 M400,Gold,"148,440","322,800",3,0.00%,"968,400","445,320","523,080"
561,2017-05-10,매장,유미백화점,컴퓨터,컴퓨터 액세서리,블루투스 노트북 마우스 X305,White,"59,640","180,000",4,0.00%,"720,000","238,560","481,440"
562,2017-05-10,매장,삼양상사,오디오,블루투스 헤드폰,차세대 스테레오 블루투스 헤드폰 M370,Yellow,"11,004","159,588",8,0.00%,"1,276,704","88,032","1,188,672"
