판매ID,날짜,채널명,거래처명,대분류,중분류,제품명,색상,원가,단가,수량,할인율,매출금액,매출원가,매출이익
2274,2020-01-14,매장,혜성 백화점,컴퓨터,컴퓨터 액세서리,무선 노트북 광학 마우스 M35,Black,"385,728","838,800",10,10.00%,"8,388,000","3,857,280","4,530,720"
2275,2020-01-15,매장,오성통상,컴퓨터,컴퓨터 액세서리,듀얼 USB 전원 어댑터 - 전원 어댑터 E300,Black,"100,944","198,000",16,0.00%,"3,168,000","1,615,104","1,552,896"
2276,2020-01-16,매장,미림 백화점,카메라 & 캠코더,카메라 & 캠코더 액세서리,일반 휴대용 케이스 E304,Black,"607,020","1,319,988",7,0.00%,"9,239,916","4,249,140","4,990,776"
2277,2020-01-17,매장,삼화상사,TV & 비디오,TV,"40"" LCD HDTV M690",Brown,"397,584","1,200,000",6,0.00%,"7,200,000","2,385,504","4,814,496"
2278,2020-01-18,매장,태강교역,컴퓨터,컴퓨터 액세서리,마우스 잠금 번들 E200,Black,"471,120","1,421,964",3,0.00%,"4,265,892","1,413,360","2,852,532"
2279,2020-01-19,매장,알프스무역,오디오,MP4 & MP3,16GB New MP5 Play M1650,White,"22,380","48,660",7,0.00%,"340,620","156,660","183,960"
2280,2020-01-20,매장,태화상사,음반 & 영화,영화 DVD,DVD 9 인치 플레이어 휴대용 M300,Silver,"110,124","456,000",3,0.00%,"1,368,000","330,372","1,037,628"
2281,2020-01-21,매장,태화상사,오디오,블루투스 헤드폰,무선 송신기와 블루투스 헤드폰 M150,Red,"11,004","159,588",8,10.00%,"1,276,704","88,032","1,188,672"
2282,2020-01-22,매장,혜성 백화점,카메라 & 캠코더,캠코더,Business Videographer 1/3'' 8.5mm M380,Grey,"158,180","261,650",2,10.00%,"523,300","316,360","206,940"
2283,2020-01-23,매장,한미전자,오디오,블루투스 헤드폰,무선투스 스테레오 헤드폰 E102,Blue,"148,440","322,800",18,10.00%,"5,810,400","2,671,920","3,138,480"
2284,2020-01-24,매장,태화상사,휴대폰,스마트 폰,PDA Phone 3.7 inches M340,Black,"516,456","1,910,640",5,10.00%,"9,553,200","2,582,280","6,970,920"
2285,2020-01-25,매장,동광통상,컴퓨터,컴퓨터 액세서리,USB 2.0 도킹 스테이션 M800,White,"196,800","204,571",14,0.00%,"2,863,994","2,755,200","108,794"
2286,2020-01-26,매장,혜성 백화점,오디오,MP4 & MP3,8GB MP3 Player new model M820,Blue,"385,728","838,800",12,10.00%,"10,065,600","4,628,736","5,436,864"
2287,2020-01-27,매장,오성통상,카메라 & 캠코더,카메라 & 캠코더 액세서리,일반 휴대용 케이스 E304,Blue,"100,944","198,000",2,0.00%,"396,000","201,888","194,112"
2288,2020-01-28,매장,미림 백화점,컴퓨터,랩탑,노트북13.3 M3000,Red,"607,020","1,319,988",4,0.00%,"5,279,952","2,428,080","2,851,872"
2289,2020-01-29,매장,삼화상사,컴퓨터,랩탑,노트북15 M0150,Black,"397,584","200,000",18,0.00%,"3,600,000","7,156,512","-3,556,512"
2290,2020-01-30,매장,태강교역,휴대폰,스마트 폰,PDA Phone 4.7 inches L360,White,"471,120","1,421,964",1,0.00%,"1,421,964","471,120","950,844"
2291,2020-01-31,매장,한진무역,휴대폰,사무용 및 가정용 전화기,센트렉스 X15,Grey,"397,584","404,459",15,0.00%,"6,066,885","5,963,760","103,125"
2292,2020-02-01,매장,진흥,오디오,MP4 & MP3,4GB Flash MP3 Player E401,Black,"397,584","403,515",10,0.00%,"4,035,150","3,975,840","59,310"
2293,2020-02-02,매장,한미전자,휴대폰,사무용 및 가정용 전화기,확장 무선 전화 시스템 M008,Grey,"59,640","180,000",3,10.00%,"540,000","178,920","361,080"
2294,2020-02-03,매장,월드링크,휴대폰,스마트 폰,PDA Wifi 4.7-inch L290,Silver,"113,124","246,000",8,10.00%,"1,968,000","904,992","1,063,008"
2295,2020-02-04,매장,신영상사,컴퓨터,컴퓨터 액세서리,무선 노트북 광학 마우스 X205,White,"78,924","154,800",13,10.00%,"2,012,400","1,026,012","986,388"
2296,2020-02-05,매장,서주무역,카메라 & 캠코더,캠코더,Independent Filmmaker 1/2'' 3mm X300,Grey,"528,188","629,440",14,10.00%,"8,812,160","7,394,632","1,417,528"
2297,2020-02-06,매장,월드링크,오디오,블루투스 헤드폰,블루투스 액티브 헤드폰 E202,Red,"22,380","48,660",4,0.00%,"194,640","89,520","105,120"
2298,2020-02-07,매장,동광통상,음반 & 영화,영화 DVD,DVD 7 인치 플레이어 휴대용 E200,Silver,"385,728","838,800",4,10.00%,"3,355,200","1,542,912","1,812,288"
2299,2020-02-08,매장,한미전자,컴퓨터,프로젝트 & 스크린,프로젝트 720p DLP56,White,"11,004","159,588",5,10.00%,"797,940","55,020","742,920"
2300,2020-02-09,매장,진흥,휴대폰,사무용 및 가정용 전화기,3 휴대폰 무선 전화 시스템 E30,Grey,"397,584","599,988",4,10.00%,"2,399,952","1,590,336","809,616"
2301,2020-02-10,매장,미림상사,컴퓨터,컴퓨터 액세서리,충전식 배터리 E100,White,"516,456","1,558,800",14,10.00%,"21,823,200","7,230,384","14,592,816"
2302,2020-02-11,매장,베네디스,컴퓨터,컴퓨터 액세서리,차량용 전원 어댑터 M90,Grey,"158,180","260,220",12,10.00%,"3,122,640","1,898,160","1,224,480"
2303,2020-02-12,매장,동광통상,컴퓨터,컴퓨터 액세서리,무선 레이저 마우스 M55,Silver,"259,344","563,964",4,10.00%,"2,255,856","1,037,376","1,218,480"
2304,2020-02-13,매장,삼화상사,컴퓨터,컴퓨터 액세서리,듀얼 USB 전원 어댑터 - 전원 어댑터 E300,White,"115,020","1,910,640",3,10.00%,"5,731,920","345,060","5,386,860"
2305,2020-02-14,매장,태강교역,휴대폰,사무용 및 가정용 전화기,2 라인 유선 무선 전화 M202,Grey,"115,020","1,910,640",9,10.00%,"17,195,760","1,035,180","16,160,580"
2306,2020-02-15,매장,협우상사,컴퓨터,모니터,LCD24 X300,White,"18,288","215,988",1,10.00%,"215,988","18,288","197,700"
2307,2020-02-16,매장,대진상사,오디오,MP4 & MP3,16GB MP5 Play M1600,Black,"385,728","838,800",10,10.00%,"8,388,000","3,857,280","4,530,720"
2308,2020-02-17,매장,동광통상,오디오,녹음 펜,1GB 디지털 보이스 레코더 펜 E100,Black,"250,836","441,600",8,10.00%,"3,532,800","2,006,688","1,526,112"
2309,2020-02-18,매장,금강,카메라 & 캠코더,캠코더,Moviemaker 1/2'' 3mm E300,Black,"154,656","466,800",8,10.00%,"3,734,400","1,237,248","2,497,152"
2310,2020-02-19,매장,우주전산,카메라 & 캠코더,디지털 카메라,"SLR Camera 35"" M358",Gold,"418,296","909,600",13,10.00%,"11,824,800","5,437,848","6,386,952"
2311,2020-02-20,매장,태화상사,컴퓨터,프로젝트 & 스크린,스크린 113in M1610,Silver,"85,044","166,800",4,10.00%,"667,200","340,176","327,024"
2312,2020-02-21,매장,동광통상,휴대폰,핸드폰 액세서리,블루투스 액티브 헤드폰 L15,Black,"472,368","599,988",12,10.00%,"7,199,856","5,668,416","1,531,440"
2313,2020-02-22,매장,양정물산,카메라 & 캠코더,카메라 & 캠코더 액세서리,USB 케이블 M250,Blue,"99,396","299,988",16,10.00%,"4,799,808","1,590,336","3,209,472"
2314,2020-02-23,매장,오성통상,컴퓨터,컴퓨터 액세서리,블루투스 노트북 마우스 X305,Silver,"59,640","215,988",7,10.00%,"1,511,916","417,480","1,094,436"
2315,2020-02-24,매장,동광통상,컴퓨터,프로젝트 & 스크린,프로젝트 720p DLP56,White,"11,004","1,910,640",6,0.00%,"11,463,840","66,024","11,397,816"
2316,2020-02-25,매장,오성통상,컴퓨터,컴퓨터 액세서리,무선 레이저 마우스 M55,Grey,"99,396","299,988",16,0.00%,"4,799,808","1,590,336","3,209,472"
2317,2020-02-26,매장,알프스무역,카메라 & 캠코더,카메라 & 캠코더 액세서리,변환 렌즈 M550,Silver,"100,944","191,988",1,0.00%,"191,988","100,944","91,044"
2318,2020-02-27,매장,삼화상사,휴대폰,사무용 및 가정용 전화기,4 휴대폰 무선 전화 시스템 M86,Black,"113,124","246,000",17,0.00%,"4,182,000","1,923,108","2,258,892"
2319,2020-02-28,매장,월드링크,컴퓨터,컴퓨터 액세서리,노트북 키보드 X105,Black,"59,640","180,000",1,0.00%,"180,000","59,640","120,360"
2320,2020-03-01,매장,세종물산,컴퓨터,컴퓨터 액세서리,광학 USB 마우스 M45,White,"250,836","441,600",2,20.00%,"883,200","501,672","381,528"
2321,2020-03-02,매장,글로리아 백화정,오디오,MP4 & MP3,8GB 수퍼 슬림 MP3/Video Player M800,Red,"148,440","322,800",1,20.00%,"322,800","148,440","174,360"
2322,2020-03-03,매장,동도교역,카메라 & 캠코더,캠코더,Independent Filmmaker 1'' 25mm X400,White,"250,836","441,600",7,20.00%,"3,091,200","1,755,852","1,335,348"
2323,2020-03-05,매장,태화상사,휴대폰,스마트 폰,PDA Phone 3.5 inches M320,Black,"15,396","33,480",14,10.00%,"468,720","215,544","253,176"
2324,2020-03-05,매장,혜성 백화점,컴퓨터,랩탑,노트북19W M0196,White,"110,124","456,000",6,10.00%,"2,736,000","660,744","2,075,256"
2325,2020-03-07,매장,오성통상,휴대폰,사무용 및 가정용 전화기,듀얼 휴대폰 무선 전화 시스템 E20,Black,"158,180","264,736",12,10.00%,"3,176,832","1,898,160","1,278,672"
2326,2020-03-10,매장,미림 백화점,컴퓨터,컴퓨터 액세서리,홈 / 사무실 노트북 전원 어댑터 E300,Black,"15,396","33,480",1,10.00%,"33,480","15,396","18,084"
2327,2020-03-11,매장,알프스무역,카메라 & 캠코더,캠코더,Social Videographer 1/3'' 8.5mm E200,Black,"15,396","33,480",12,20.00%,"401,760","184,752","217,008"
2328,2020-03-11,매장,유미백화점,컴퓨터,랩탑,노트북15.4W M1548,Red,"148,440","322,800",1,20.00%,"322,800","148,440","174,360"
2329,2020-03-15,매장,삼양상사,오디오,블루투스 헤드폰,차세대 스테레오 블루투스 헤드폰 M370,White,"397,584","1,200,000",11,20.00%,"13,200,000","4,373,424","8,826,576"
2330,2020-03-16,매장,월드링크,오디오,블루투스 헤드폰,무선투스 스테레오 헤드폰 E102,Blue,"59,640","215,988",14,10.00%,"3,023,832","834,960","2,188,872"
2331,2020-03-17,매장,서주무역,카메라 & 캠코더,캠코더,Independent Filmmaker 1/3'' 8.5mm X200,Black,"471,120","1,421,964",8,10.00%,"11,375,712","3,768,960","7,606,752"
2332,2020-03-17,매장,신세기상사,음반 & 영화,영화 DVD,DVD 55 DVD 저장 바인더 M56,Red,"99,396","299,988",13,20.00%,"3,899,844","1,292,148","2,607,696"
2333,2020-03-17,매장,이화무역,오디오,블루투스 헤드폰,블루투스 액티브 헤드폰 E202,White,"516,456","1,910,640",10,20.00%,"19,106,400","5,164,560","13,941,840"
2334,2020-03-19,매장,진흥,카메라 & 캠코더,카메라 & 캠코더 액세서리,USB 케이블 M250,Blue,"471,120","1,421,964",17,10.00%,"24,173,388","8,009,040","16,164,348"
2335,2020-03-20,매장,언더우드상사,오디오,MP4 & MP3,8GB MP3 Player new model M820,White,"158,180","261,942",12,20.00%,"3,143,304","1,898,160","1,245,144"
2336,2020-03-22,매장,태성무역,컴퓨터,컴퓨터 액세서리,무선 레이저 마우스 M55,Grey,"196,800","429,600",3,20.00%,"1,288,800","590,400","698,400"
2337,2020-03-22,매장,샤론통상,컴퓨터,프로젝트 & 스크린,프로젝트 720p M620,Silver,"11,004","159,588",16,20.00%,"2,553,408","176,064","2,377,344"
2338,2020-03-24,매장,한진무역,컴퓨터,프로젝트 & 스크린,프로젝트 1080p X980,Silver,"59,628","179,988",5,20.00%,"899,940","298,140","601,800"
2339,2020-03-25,매장,대한상사,오디오,블루투스 헤드폰,블루투스 스테레오 헤드폰 E52,Black,"148,440","322,800",6,20.00%,"1,936,800","890,640","1,046,160"
2340,2020-03-26,매장,협우상사,휴대폰,스마트 폰,PDA Phone 4.7 inches L360,Black,"110,124","456,000",11,10.00%,"5,016,000","1,211,364","3,804,636"
2341,2020-03-26,매장,신성무역,휴대폰,핸드폰 액세서리,오리지널 K1M 리튬 이온 표준 배터리 E170,Black,"11,004","159,588",6,20.00%,"957,528","66,024","891,504"
2342,2020-03-26,매장,베네디스,카메라 & 캠코더,카메라 & 캠코더 액세서리,망원 변환 렌즈 M350,Black,"259,344","563,964",5,10.00%,"2,819,820","1,296,720","1,523,100"
2343,2020-03-28,매장,한미전자,휴대폰,사무용 및 가정용 전화기,센트렉스 X15,White,"551,280","1,198,800",5,20.00%,"5,994,000","2,756,400","3,237,600"
2344,2020-03-29,매장,대진상사,오디오,MP4 & MP3,32GB 비디오 MP3 Player M3200,Black,"633,036","1,910,640",8,10.00%,"15,285,120","5,064,288","10,220,832"
2345,2020-03-30,매장,우주전산,컴퓨터,랩탑,노트북15 M1501,White,"18,288","215,988",3,10.00%,"647,964","54,864","593,100"
2346,2020-03-30,매장,금강,오디오,MP4 & MP3,8GB MP3 Player new model M820,Black,"142,380","309,600",11,10.00%,"3,405,600","1,566,180","1,839,420"
2347,2020-04-01,매장,세종물산,카메라 & 캠코더,캠코더,Business Videographer 1'' 25mm M600,Black,"13,800","21,092",4,20.00%,"84,368","55,200","29,168"
2348,2020-04-01,매장,양정물산,카메라 & 캠코더,캠코더,"Social Videographer 1/3"" 8.5mm E200",Blue,"385,728","838,800",1,20.00%,"838,800","385,728","453,072"
2349,2020-04-02,매장,글로리아 백화정,음반 & 영화,영화 DVD,DVD 60 DVD 저장 바인더 L20,Red,"633,036","1,910,640",17,20.00%,"32,480,880","10,761,612","21,719,268"
2350,2020-04-03,매장,알프스무역,카메라 & 캠코더,카메라 & 캠코더 액세서리,변환 렌즈 M550,Black,"472,368","599,988",9,20.00%,"5,399,892","4,251,312","1,148,580"
2351,2020-04-03,매장,동도교역,카메라 & 캠코더,캠코더,Independent Filmmaker 2/3'' 17mm X100,Grey,"397,584","1,200,000",3,20.00%,"3,600,000","1,192,752","2,407,248"
2352,2020-04-04,매장,혜성 백화점,오디오,녹음 펜,1GB 디지털 보이스 레코더 펜 E100,Black,"115,020","1,910,640",15,0.00%,"28,659,600","1,725,300","26,934,300"
2353,2020-04-05,매장,삼양상사,음반 & 영화,영화 DVD,DVD 7 인치 플레이어 휴대용 E200,Silver,"385,728","838,800",7,20.00%,"5,871,600","2,700,096","3,171,504"
2354,2020-04-05,매장,신세기상사,음반 & 영화,영화 DVD,DVD 55 DVD 저장 바인더 M56,Silver,"258,180","362,163",12,20.00%,"4,345,956","3,098,160","1,247,796"
2355,2020-04-05,매장,유미백화점,휴대폰,스마트 폰,PDA GPS Phone 4.7 inch L950,Black,"317,584","404,976",1,20.00%,"404,976","317,584","87,392"
2356,2020-04-06,매장,이화무역,카메라 & 캠코더,DSLR 카메라,"SLR Camera 35"" M358",Grey,"18,288","215,988",4,20.00%,"863,952","73,152","790,800"
2357,2020-04-07,매장,동광통상,컴퓨터,프로젝트 & 스크린,프로젝트 720p M620,White,"154,656","466,800",8,0.00%,"3,734,400","1,237,248","2,497,152"
2358,2020-04-07,매장,태성무역,휴대폰,사무용 및 가정용 전화기,4 휴대폰 무선 전화 시스템 M86,White,"15,396","33,480",17,20.00%,"569,160","261,732","307,428"
2359,2020-04-08,매장,태성무역,카메라 & 캠코더,카메라 & 캠코더 액세서리,휴대용 케이스 E312,Silver,"15,600","30,600",7,0.00%,"214,200","109,200","105,000"
2360,2020-04-08,매장,대한상사,휴대폰,스마트 폰,PDA Handheld 4.7 inch L650,Black,"110,124","456,000",10,20.00%,"4,560,000","1,101,240","3,458,760"
2361,2020-04-08,매장,오성통상,오디오,블루투스 헤드폰,블루투스 액티브 헤드폰 E202,Black,"196,800","201,158",2,0.00%,"402,316","393,600","8,716"
2362,2020-04-09,매장,ITM,TV & 비디오,TV,"20"" LCD HDTV M120",Black,"85,044","166,800",12,20.00%,"2,001,600","1,020,528","981,072"
2363,2020-04-09,매장,ABC상사,휴대폰,스마트 폰,4G 메모리 스마트 폰 M300,Pink,"18,288","215,988",8,20.00%,"1,727,904","146,304","1,581,600"
2364,2020-04-09,매장,신성무역,컴퓨터,프로젝트 & 스크린,스크린 100in E010,Silver,"158,180","261,455",18,20.00%,"4,706,190","2,847,240","1,858,950"
2365,2020-04-10,매장,한미전자,컴퓨터,컴퓨터 액세서리,노트북 키보드 X105,White,"11,004","159,588",2,20.00%,"319,176","22,008","297,168"
2366,2020-04-10,매장,동광통상,컴퓨터,랩탑,노트북19W M0196,Blue,"126,372","274,800",4,20.00%,"1,099,200","505,488","593,712"
2367,2020-04-10,매장,신영상사,컴퓨터,컴퓨터 액세서리,마우스 잠금 번들 E200,Black,"18,288","215,988",9,20.00%,"1,943,892","164,592","1,779,300"
2368,2020-04-10,매장,언더우드상사,오디오,MP4 & MP3,8GB 시계&라디오 MP3 Player X850,Green,"13,800","15,192",4,0.00%,"60,768","55,200","5,568"
2369,2020-04-11,매장,태화상사,휴대폰,스마트 폰,PDA GPS Phone 4.7 inch L950,Silver,"258,180","459,540",11,20.00%,"5,054,940","2,839,980","2,214,960"
2370,2020-04-11,매장,미림 백화점,컴퓨터,컴퓨터 액세서리,스마트 배터리 M901,Blue,"385,728","838,800",12,20.00%,"10,065,600","4,628,736","5,436,864"
2371,2020-04-11,매장,ABC상사,휴대폰,터치 스크린 폰,터치 스크린 폰 4-와이어 / M302,Black,"126,372","274,800",5,0.00%,"1,374,000","631,860","742,140"
2372,2020-04-11,매장,혜성 백화점,휴대폰,터치 스크린 폰,터치 스크린 폰 4-와이어 / 내장 M205,Gold,"110,124","456,000",3,20.00%,"1,368,000","330,372","1,037,628"
2373,2020-04-11,매장,동광통상,카메라 & 캠코더,카메라 & 캠코더 액세서리,망원 변환 렌즈 X400,Silver,"126,372","274,800",6,20.00%,"1,648,800","758,232","890,568"
2374,2020-04-11,매장,오성통상,카메라 & 캠코더,캠코더,Independent Filmmaker 2/3'' 17mm X100,White,"13,800","25,830",9,20.00%,"232,470","124,200","108,270"
2375,2020-04-11,매장,삼화상사,카메라 & 캠코더,캠코더,Business Videographer 1/2'' 3mm M500,Grey,"11,004","1,910,640",9,20.00%,"17,195,760","99,036","17,096,724"
2376,2020-04-12,매장,월드링크,휴대폰,사무용 및 가정용 전화기,4 휴대폰 무선 전화 시스템 M86,Black,"385,728","838,800",10,20.00%,"8,388,000","3,857,280","4,530,720"
2377,2020-04-12,매장,삼화상사,휴대폰,사무용 및 가정용 전화기,4라인 유선 무선 전화 M203,Black,"397,584","405,921",11,0.00%,"4,465,131","4,373,424","91,707"
2378,2020-04-12,매장,태강교역,카메라 & 캠코더,캠코더,Moviemaker 1'' 25mm E400,Black,"110,124","456,000",16,20.00%,"7,296,000","1,761,984","5,534,016"
2379,2020-04-13,매장,월드링크,오디오,MP4 & MP3,2G MP3 Player E200,Red,"196,800","429,600",11,0.00%,"4,725,600","2,164,800","2,560,800"
2380,2020-04-13,매장,신영상사,음반 & 영화,영화 DVD,DVD 14인치 플레이어 휴대용 M400,Black,"385,728","838,800",2,20.00%,"1,677,600","771,456","906,144"
2381,2020-04-13,매장,태강교역,컴퓨터,프로젝트 & 스크린,프로젝트 720p M620,White,"100,944","198,000",2,0.00%,"396,000","201,888","194,112"
2382,2020-04-14,매장,한미전자,카메라 & 캠코더,캠코더,"Trendsetter 1/3"" 8.5mm X200",Blue,"60,672","131,940",5,0.00%,"659,700","303,360","356,340"
2383,2020-04-14,매장,진흥,컴퓨터,"프린터,스캐너,팩스",잉크젯 PDF 스캐너 M300,Green,"12,180","23,880",2,20.00%,"47,760","24,360","23,400"
2384,2020-04-15,매장,미림상사,오디오,녹음 펜,1GB 디지털 보이스 레코더 펜 E100,Red,"10,800","16,425",17,20.00%,"279,225","183,600","95,625"
2385,2020-04-16,매장,베네디스,카메라 & 캠코더,카메라 & 캠코더 액세서리,디지털 카메라 경량 삼각대 E316,Black,"472,368","599,988",11,20.00%,"6,599,868","5,196,048","1,403,820"
2386,2020-04-17,매장,서주무역,휴대폰,사무용 및 가정용 전화기,듀얼 휴대폰 무선 전화 시스템 E20,Black,"18,288","215,988",7,0.00%,"1,511,916","128,016","1,383,900"
2387,2020-04-17,매장,대진상사,오디오,MP4 & MP3,16GB New MP5 Play M1650,Silver,"148,440","322,800",14,20.00%,"4,519,200","2,078,160","2,441,040"
2388,2020-04-17,매장,협우상사,카메라 & 캠코더,카메라 & 캠코더 액세서리,변환 렌즈 M550,Blue,"22,380","48,660",18,20.00%,"875,880","402,840","473,040"
2389,2020-04-17,매장,신영상사,컴퓨터,컴퓨터 액세서리,렌즈 캡 E80,Grey,"471,120","1,421,964",13,0.00%,"18,485,532","6,124,560","12,360,972"
2390,2020-04-18,매장,진흥,컴퓨터,컴퓨터 액세서리,마우스 잠금 번들 E200,Grey,"148,440","322,800",4,0.00%,"1,291,200","593,760","697,440"
2391,2020-04-19,매장,우주전산,오디오,녹음 펜,1GB 펄스 스마트 펜 E50,Silver,"385,728","838,800",7,20.00%,"5,871,600","2,700,096","3,171,504"
2392,2020-04-19,매장,금강,음반 & 영화,영화 DVD,DVD 58 DVD 저장 바인더 M55,Black,"115,020","1,910,640",6,20.00%,"11,463,840","690,120","10,773,720"
2393,2020-04-21,매장,글로리아 백화정,컴퓨터,컴퓨터 액세서리,전원 인버터 - AC 전원 인버터 E900,White,"158,180","266,311",15,20.00%,"3,994,665","2,372,700","1,621,965"
2394,2020-04-21,매장,알프스무역,TV & 비디오,TV,"37"" 1080p LCD HDTV M150W",White,"385,728","838,800",17,20.00%,"14,259,600","6,557,376","7,702,224"
2395,2020-04-21,매장,동도교역,오디오,블루투스 헤드폰,무선 송신기와 블루투스 헤드폰 M150,Red,"115,020","1,910,640",18,20.00%,"34,391,520","2,070,360","32,321,160"
2396,2020-04-22,매장,신영상사,카메라 & 캠코더,캠코더,Moviemaker 2/3'' 17mm E100,Grey,"148,440","322,800",12,0.00%,"3,873,600","1,781,280","2,092,320"
2397,2020-04-22,매장,베네디스,TV & 비디오,TV,"42"" LCD HDTV M55",Black,"146,316","441,600",8,0.00%,"3,532,800","1,170,528","2,362,272"
2398,2020-04-22,매장,베네디스,카메라 & 캠코더,카메라 & 캠코더 액세서리,정품 가죽 그립 벨트 E322,Grey,"148,440","322,800",17,0.00%,"5,487,600","2,523,480","2,964,120"
2399,2020-04-23,매장,삼양상사,컴퓨터,랩탑,노트북12 M1200,Black,"22,380","48,660",13,20.00%,"632,580","290,940","341,640"
2400,2020-04-23,매장,신세기상사,휴대폰,스마트 폰,8G 메모리 스마트 폰 M400,White,"59,640","180,000",8,20.00%,"1,440,000","477,120","962,880"
2401,2020-04-24,매장,이화무역,휴대폰,스마트 폰,PDA GPS Phone 3.7 inch M930,Black,"385,728","838,800",3,20.00%,"2,516,400","1,157,184","1,359,216"
2402,2020-04-25,매장,샤론통상,오디오,블루투스 헤드폰,무선 블루투스 스테레오 헤드폰 M270,Pink,"15,396","33,480",17,20.00%,"569,160","261,732","307,428"
2403,2020-04-25,매장,서주무역,컴퓨터,컴퓨터 액세서리,멀티미디어 스피커 M25,Blue,"148,440","322,800",3,0.00%,"968,400","445,320","523,080"
2404,2020-04-25,매장,태성무역,컴퓨터,랩탑,노트북14.1W M4180,Red,"148,440","322,800",11,20.00%,"3,550,800","1,632,840","1,917,960"
2405,2020-04-25,매장,미림 백화점,휴대폰,사무용 및 가정용 전화기,센트렉스 X15,Grey,"15,396","33,480",3,0.00%,"100,440","46,188","54,252"
2406,2020-04-26,매장,한진무역,휴대폰,사무용 및 가정용 전화기,Centrex Phone System L12,White,"99,396","299,988",11,20.00%,"3,299,868","1,093,356","2,206,512"
2407,2020-04-26,매장,우주전산,컴퓨터,컴퓨터 액세서리,USB 광 마우스 E200,Blue,"258,180","261,901",8,0.00%,"2,095,208","2,065,440","29,768"
2408,2020-04-26,매장,금강,컴퓨터,컴퓨터 액세서리,브라이트 라이트 배터리 E20,Black,"18,204","39,588",18,0.00%,"712,584","327,672","384,912"
2409,2020-04-27,매장,양정물산,컴퓨터,컴퓨터 액세서리,ADSL 모뎀 스플리터/필터 X1 E200,White,"78,924","154,800",16,0.00%,"2,476,800","1,262,784","1,214,016"
2410,2020-04-27,매장,신성무역,카메라 & 캠코더,캠코더,"Social Videographer 1/3"" 8.5mm E200",Orange,"633,036","1,910,640",10,20.00%,"19,106,400","6,330,360","12,776,040"
2411,2020-04-27,매장,대한상사,컴퓨터,컴퓨터 액세서리,ADSL 모뎀 스플리터/필터 X1 E100,Black,"385,728","838,800",11,20.00%,"9,226,800","4,243,008","4,983,792"
2412,2020-04-28,매장,한미전자,카메라 & 캠코더,카메라 & 캠코더 액세서리,디지털 카메라 경량 삼각대 E316,Black,"148,440","322,800",4,0.00%,"1,291,200","593,760","697,440"
2413,2020-04-28,매장,세종물산,컴퓨터,컴퓨터 액세서리,울트라 포터블 네오프렌 슬리브 E30,Yellow,"516,456","1,910,640",4,0.00%,"7,642,560","2,065,824","5,576,736"
2414,2020-04-29,매장,ABC상사,휴대폰,핸드폰 액세서리,터치 스타일러스 펜 E150,Red,"59,640","215,988",16,20.00%,"3,455,808","954,240","2,501,568"
2415,2020-04-30,온라인,J마켓,컴퓨터,컴퓨터 액세서리,USB 광 마우스 E200,Black,"607,020","1,319,988",18,20.00%,"23,759,784","10,926,360","12,833,424"
